instance,k,judicious,naive,lowerbound
59s,2,452,467,335
59s,4,252,440,167
59s,8,172,383,83
59s,12,139,383,57
59s,16,113,377,57
59s,24,82,300,57
59s,32,64,243,57
59s,48,57,212,57
59s,64,57,163,57
59s,96,57,111,57
59s,128,57,110,57
59s,160,57,57,57
59s,200,57,57,57
59s,256,57,57,57
59s,384,57,57,57
59s,512,57,57,57
59s,768,57,57,57
59s,1024,57,57,57
59s,1536,57,57,57
59s,2048,57,57,57
59s,3072,57,57,57
59s,4096,57,57,57
59s,8192,57,57,57
404s,2,1629,1913,1262
404s,4,1111,1448,631
404s,8,957,1290,402
404s,12,836,1185,402
404s,16,769,1155,402
404s,24,668,1033,402
404s,32,591,1040,402
404s,48,519,1003,402
404s,64,461,992,402
404s,96,422,909,402
404s,128,402,840,402
404s,160,402,840,402
404s,200,402,694,402
404s,256,402,694,402
404s,384,402,548,402
404s,512,402,548,402
404s,768,402,402,402
404s,1024,402,402,402
404s,1536,402,402,402
404s,2048,402,402,402
404s,3072,402,402,402
404s,4096,402,402,402
404s,8192,402,402,402
128s,2,667,883,585
128s,4,495,614,292
128s,8,347,498,146
128s,12,269,466,126
128s,16,246,437,126
128s,24,217,411,126
128s,32,188,406,126
128s,48,160,381,126
128s,64,143,321,126
128s,96,126,278,126
128s,128,126,209,126
128s,160,126,210,126
128s,200,126,202,126
128s,256,126,126,126
128s,384,126,126,126
128s,512,126,126,126
128s,768,126,126,126
128s,1024,126,126,126
128s,1536,126,126,126
128s,2048,126,126,126
128s,3072,126,126,126
128s,4096,126,126,126
128s,8192,126,126,126
59l,2,5636,6764,5102
59l,4,4319,3745,2551
59l,8,2397,2622,1275
59l,12,1481,1929,850
59l,16,1157,1498,637
59l,24,906,1185,425
59l,32,710,1019,318
59l,48,526,761,212
59l,64,427,720,159
59l,96,309,530,106
59l,128,258,453,79
59l,160,227,443,63
59l,200,198,381,57
59l,256,170,332,57
59l,384,130,274,57
59l,512,103,255,57
59l,768,70,169,57
59l,1024,58,169,57
59l,1536,58,113,57
59l,2048,58,113,57
59l,3072,58,57,57
59l,4096,58,57,57
59l,8192,58,57,57
404l,2,23208,26585,20324
404l,4,16752,16859,10162
404l,8,8336,9720,5081
404l,12,6065,7054,3387
404l,16,5075,5791,2540
404l,24,3805,4592,1693
404l,32,2957,3770,1270
404l,48,2071,3121,846
404l,64,1756,2858,635
404l,96,1365,2310,423
404l,128,1154,2111,402
404l,160,1043,1901,402
404l,200,949,1830,402
404l,256,863,1504,402
404l,384,741,1486,402
404l,512,660,1242,402
404l,768,551,952,402
404l,1024,474,950,402
404l,1536,402,677,402
404l,2048,402,677,402
404l,3072,402,402,402
404l,4096,402,402,402
404l,8192,402,402,402
128l,2,14344,13177,11809
128l,4,8415,7848,5904
128l,8,5201,4795,2952
128l,12,4005,3601,1968
128l,16,3217,2987,1476
128l,24,2363,2504,984
128l,32,1840,2242,738
128l,48,1416,1875,492
128l,64,1199,1696,369
128l,96,879,1474,246
128l,128,726,1099,184
128l,160,641,1000,147
128l,200,577,992,126
128l,256,501,823,126
128l,384,415,664,126
128l,512,359,605,126
128l,768,300,446,126
128l,1024,260,369,126
128l,1536,205,252,126
128l,2048,166,252,126
128l,3072,127,126,126
128l,4096,127,126,126
128l,8192,127,126,126
sm_part24_11756,2,79374,67491,49856
sm_part24_11756,4,48651,43606,24928
sm_part24_11756,8,22330,28112,12464
sm_part24_11756,12,19839,21627,8309
sm_part24_11756,16,16017,17841,6232
sm_part24_11756,24,13889,13637,4154
sm_part24_11756,32,11389,11278,3116
sm_part24_11756,48,8638,8568,2077
sm_part24_11756,64,7243,7069,1558
sm_part24_11756,96,5586,5383,1038
sm_part24_11756,128,4708,4353,779
sm_part24_11756,160,4017,3750,623
sm_part24_11756,200,3448,3233,498
sm_part24_11756,256,2952,2727,389
sm_part24_11756,384,2223,2069,259
sm_part24_11756,512,1863,1662,194
sm_part24_11756,768,1450,1284,142
sm_part24_11756,1024,1215,1019,142
sm_part24_11756,1536,948,758,142
sm_part24_11756,2048,798,599,142
sm_part24_11756,3072,616,433,142
sm_part24_11756,4096,498,336,142
sm_part24_11756,8192,263,239,142
sm_part12_20753,2,97178,107381,81757
sm_part12_20753,4,58774,68598,40878
sm_part12_20753,8,35009,43211,20439
sm_part12_20753,12,28447,32765,13626
sm_part12_20753,16,21531,26971,10219
sm_part12_20753,24,17677,20497,6813
sm_part12_20753,32,13849,16926,5109
sm_part12_20753,48,11330,12765,3406
sm_part12_20753,64,9478,10439,2554
sm_part12_20753,96,7297,7752,1703
sm_part12_20753,128,6183,6346,1277
sm_part12_20753,160,5318,5530,1021
sm_part12_20753,200,4648,4666,817
sm_part12_20753,256,3992,4005,638
sm_part12_20753,384,3054,2994,425
sm_part12_20753,512,2549,2541,319
sm_part12_20753,768,1921,1889,212
sm_part12_20753,1024,1577,1543,159
sm_part12_20753,1536,1184,1194,142
sm_part12_20753,2048,956,968,142
sm_part12_20753,3072,714,712,142
sm_part12_20753,4096,577,621,142
sm_part12_20753,8192,338,350,142
sm_part3_31854,2,138275,123077,92831
sm_part3_31854,4,64810,80284,46415
sm_part3_31854,8,35677,50673,23207
sm_part3_31854,12,31092,38568,15471
sm_part3_31854,16,25103,31741,11603
sm_part3_31854,24,18907,24180,7735
sm_part3_31854,32,15495,19572,5801
sm_part3_31854,48,12609,15003,3867
sm_part3_31854,64,10304,12108,2900
sm_part3_31854,96,8086,9241,1933
sm_part3_31854,128,6765,7745,1450
sm_part3_31854,160,5648,6697,1160
sm_part3_31854,200,4856,5784,928
sm_part3_31854,256,4064,4739,725
sm_part3_31854,384,3143,3693,483
sm_part3_31854,512,2659,3050,362
sm_part3_31854,768,2046,2273,241
sm_part3_31854,1024,1695,1876,181
sm_part3_31854,1536,1279,1508,142
sm_part3_31854,2048,1045,1236,142
sm_part3_31854,3072,765,968,142
sm_part3_31854,4096,608,795,142
sm_part3_31854,8192,356,460,142
sm_part1_170859,2,138827,140501,98418
sm_part1_170859,4,61870,104898,49209
sm_part1_170859,8,42632,69451,24604
sm_part1_170859,12,31646,54092,16403
sm_part1_170859,16,28498,45521,12302
sm_part1_170859,24,20661,35322,8201
sm_part1_170859,32,15156,29158,6151
sm_part1_170859,48,13676,22815,4100
sm_part1_170859,64,11152,19302,3075
sm_part1_170859,96,8737,15488,2050
sm_part1_170859,128,7628,13491,1537
sm_part1_170859,160,6626,11900,1230
sm_part1_170859,200,5799,10259,984
sm_part1_170859,256,4881,8734,768
sm_part1_170859,384,3871,6868,512
sm_part1_170859,512,3251,5523,384
sm_part1_170859,768,2521,4453,256
sm_part1_170859,1024,2112,3754,192
sm_part1_170859,1536,1608,2880,142
sm_part1_170859,2048,1307,2609,142
sm_part1_170859,3072,943,2071,142
sm_part1_170859,4096,740,1809,142
sm_part1_170859,8192,419,1233,142
